timestamp,prefix,peer,peer_asn,path,next_hop,type,origin,aggregator,community,withdrawals,host,id,raw
2025-03-31 16:27:20,102.217.17.0/24,195.66.224.32,3257,3257 > 1299 > 6939 > 6939 > 60171 > 37447 > 328344,195.66.224.32,UPDATE,IGP,N/A,"[[3257, 8992], [3257, 30055], [3257, 50001], [3257, 53900], [3257, 53902]]",,rrc01.ripe.net,195.66.224.32-0195ebd947a20000,"{""timestamp"": 1743418640.29, ""peer"": ""195.66.224.32"", ""peer_asn"": ""3257"", ""id"": ""195.66.224.32-0195ebd947a20000"", ""host"": ""rrc01.ripe.net"", ""type"": ""UPDATE"", ""path"": [3257, 1299, 6939, 6939, 60171, 37447, 328344], ""community"": [[3257, 8992], [3257, 30055], [3257, 50001], [3257, 53900], [3257, 53902]], ""origin"": ""IGP"", ""med"": 0, ""announcements"": [{""next_hop"": ""195.66.224.32"", ""prefixes"": [""102.217.17.0/24""]}], ""withdrawals"": []}"
2025-03-31 16:27:20,2605:9cc0:c06::/48,2001:7f8:4::cb9:1,3257,3257 > 174 > 16509,"2001:7f8:4::cb9:1,fe80::219:e2ff:feb1:dc8a",UPDATE,IGP,N/A,"[[3257, 8055], [3257, 8173], [3257, 30689], [3257, 50002], [3257, 51300], [3257, 51303]]",,rrc01.ripe.net,2001:7f8:4::cb9:1-0195ebd947a20001,"{""timestamp"": 1743418640.29, ""peer"": ""2001:7f8:4::cb9:1"", ""peer_asn"": ""3257"", ""id"": ""2001:7f8:4::cb9:1-0195ebd947a20001"", ""host"": ""rrc01.ripe.net"", ""type"": ""UPDATE"", ""path"": [3257, 174, 16509], ""community"": [[3257, 8055], [3257, 8173], [3257, 30689], [3257, 50002], [3257, 51300], [3257, 51303]], ""origin"": ""IGP"", ""med"": 0, ""announcements"": [{""next_hop"": ""2001:7f8:4::cb9:1,fe80::219:e2ff:feb1:dc8a"", ""prefixes"": [""2605:9cc0:c06::/48""]}], ""withdrawals"": []}"
2025-03-31 16:27:20,37.9.207.0/24,195.66.227.233,207841,207841 > 137409 > 2914 > 6453 > 34984 > 34984 > 34984 > 34984 > 43352,195.66.227.233,UPDATE,IGP,N/A,"[[2914, 420], [2914, 1205], [2914, 2204], [2914, 3200], [7578, 1300], [7578, 1305]]",,rrc01.ripe.net,195.66.227.233-0195ebd947a20002,"{""timestamp"": 1743418640.29, ""peer"": ""195.66.227.233"", ""peer_asn"": ""207841"", ""id"": ""195.66.227.233-0195ebd947a20002"", ""host"": ""rrc01.ripe.net"", ""type"": ""UPDATE"", ""path"": [207841, 137409, 2914, 6453, 34984, 34984, 34984, 34984, 43352], ""community"": [[2914, 420], [2914, 1205], [2914, 2204], [2914, 3200], [7578, 1300], [7578, 1305]], ""origin"": ""IGP"", ""announcements"": [{""next_hop"": ""195.66.227.233"", ""prefixes"": [""37.9.207.0/24""]}], ""withdrawals"": []}"
2025-03-31 16:27:20,2a0e:b107:27fc::/48,2001:7f8:4::3:2be1:1,207841,207841 > 137409 > 393577 > 393577 > 393577 > 393577 > 215828,"2001:7f8:4::3:2be1:1,fe80::3efd:feff:feee:62ca",UPDATE,IGP,N/A,"[[7578, 1], [7578, 2100], [7578, 2110], [7578, 2111]]",,rrc01.ripe.net,2001:7f8:4::3:2be1:1-0195ebd947a20003,"{""timestamp"": 1743418640.29, ""peer"": ""2001:7f8:4::3:2be1:1"", ""peer_asn"": ""207841"", ""id"": ""2001:7f8:4::3:2be1:1-0195ebd947a20003"", ""host"": ""rrc01.ripe.net"", ""type"": ""UPDATE"", ""path"": [207841, 137409, 393577, 393577, 393577, 393577, 215828], ""community"": [[7578, 1], [7578, 2100], [7578, 2110], [7578, 2111]], ""origin"": ""IGP"", ""announcements"": [{""next_hop"": ""2001:7f8:4::3:2be1:1,fe80::3efd:feff:feee:62ca"", ""prefixes"": [""2a0e:b107:27fc::/48""]}], ""withdrawals"": []}"
2025-03-31 16:27:20,41.190.234.0/23,195.66.224.32,3257,3257 > 1299 > 6939 > 6939 > 60171 > 37447 > 37638,195.66.224.32,UPDATE,IGP,N/A,"[[3257, 8992], [3257, 30055], [3257, 50001], [3257, 53900], [3257, 53902]]",,rrc01.ripe.net,195.66.224.32-0195ebd947a20005,"{""timestamp"": 1743418640.29, ""peer"": ""195.66.224.32"", ""peer_asn"": ""3257"", ""id"": ""195.66.224.32-0195ebd947a20005"", ""host"": ""rrc01.ripe.net"", ""type"": ""UPDATE"", ""path"": [3257, 1299, 6939, 6939, 60171, 37447, 37638], ""community"": [[3257, 8992], [3257, 30055], [3257, 50001], [3257, 53900], [3257, 53902]], ""origin"": ""IGP"", ""med"": 0, ""announcements"": [{""next_hop"": ""195.66.224.32"", ""prefixes"": [""41.190.234.0/23""]}], ""withdrawals"": []}"
2025-03-31 16:27:20,2600:140f:3200::/48,2001:7f8:4::cb9:1,3257,3257 > 174 > 55644 > 55644 > 55644 > 55644 > 55644 > 55644,"2001:7f8:4::cb9:1,fe80::219:e2ff:feb1:dc8a",UPDATE,IGP,55410:182.19.113.17,"[[3257, 8055], [3257, 8173], [3257, 30689], [3257, 50002], [3257, 51300], [3257, 51303]]",,rrc01.ripe.net,2001:7f8:4::cb9:1-0195ebd947a20006,"{""timestamp"": 1743418640.29, ""peer"": ""2001:7f8:4::cb9:1"", ""peer_asn"": ""3257"", ""id"": ""2001:7f8:4::cb9:1-0195ebd947a20006"", ""host"": ""rrc01.ripe.net"", ""type"": ""UPDATE"", ""path"": [3257, 174, 55644, 55644, 55644, 55644, 55644, 55644], ""community"": [[3257, 8055], [3257, 8173], [3257, 30689], [3257, 50002], [3257, 51300], [3257, 51303]], ""origin"": ""IGP"", ""med"": 0, ""aggregator"": ""55410:182.19.113.17"", ""announcements"": [{""next_hop"": ""2001:7f8:4::cb9:1,fe80::219:e2ff:feb1:dc8a"", ""prefixes"": [""2600:140f:3200::/48""]}], ""withdrawals"": []}"
2025-03-31 16:27:20,41.190.234.0/23,195.66.224.32,3257,3257 > 1299 > 6939 > 6939 > 60171 > 37447 > 37638,195.66.224.32,UPDATE,IGP,N/A,"[[3257, 8778], [3257, 30050], [3257, 50001], [3257, 53100], [3257, 53101]]",,rrc01.ripe.net,195.66.224.32-0195ebd947a20007,"{""timestamp"": 1743418640.29, ""peer"": ""195.66.224.32"", ""peer_asn"": ""3257"", ""id"": ""195.66.224.32-0195ebd947a20007"", ""host"": ""rrc01.ripe.net"", ""type"": ""UPDATE"", ""path"": [3257, 1299, 6939, 6939, 60171, 37447, 37638], ""community"": [[3257, 8778], [3257, 30050], [3257, 50001], [3257, 53100], [3257, 53101]], ""origin"": ""IGP"", ""med"": 0, ""announcements"": [{""next_hop"": ""195.66.224.32"", ""prefixes"": [""41.190.234.0/23""]}], ""withdrawals"": []}"
2025-03-31 16:27:20,2804:2058::/32,2001:7f8:4::cb9:1,3257,3257 > 174 > 37468 > 262589 > 53062 > 262907 > 53135 > 264487,"2001:7f8:4::cb9:1,fe80::219:e2ff:feb1:dc8a",UPDATE,IGP,N/A,"[[3257, 8055], [3257, 8173], [3257, 30689], [3257, 50002], [3257, 51300], [3257, 51303]]",,rrc01.ripe.net,2001:7f8:4::cb9:1-0195ebd947a20008,"{""timestamp"": 1743418640.29, ""peer"": ""2001:7f8:4::cb9:1"", ""peer_asn"": ""3257"", ""id"": ""2001:7f8:4::cb9:1-0195ebd947a20008"", ""host"": ""rrc01.ripe.net"", ""type"": ""UPDATE"", ""path"": [3257, 174, 37468, 262589, 53062, 262907, 53135, 264487], ""community"": [[3257, 8055], [3257, 8173], [3257, 30689], [3257, 50002], [3257, 51300], [3257, 51303]], ""origin"": ""IGP"", ""med"": 0, ""announcements"": [{""next_hop"": ""2001:7f8:4::cb9:1,fe80::219:e2ff:feb1:dc8a"", ""prefixes"": [""2804:2058::/32""]}], ""withdrawals"": []}"
2025-03-31 16:27:20,102.217.17.0/24,195.66.224.32,3257,3257 > 1299 > 6939 > 6939 > 60171 > 37447 > 328344,195.66.224.32,UPDATE,IGP,N/A,"[[3257, 8778], [3257, 30050], [3257, 50001], [3257, 53100], [3257, 53101]]",,rrc01.ripe.net,195.66.224.32-0195ebd947a20009,"{""timestamp"": 1743418640.29, ""peer"": ""195.66.224.32"", ""peer_asn"": ""3257"", ""id"": ""195.66.224.32-0195ebd947a20009"", ""host"": ""rrc01.ripe.net"", ""type"": ""UPDATE"", ""path"": [3257, 1299, 6939, 6939, 60171, 37447, 328344], ""community"": [[3257, 8778], [3257, 30050], [3257, 50001], [3257, 53100], [3257, 53101]], ""origin"": ""IGP"", ""med"": 0, ""announcements"": [{""next_hop"": ""195.66.224.32"", ""prefixes"": [""102.217.17.0/24""]}], ""withdrawals"": []}"
2025-03-31 16:27:20,N/A,2001:7f8:4::cb9:1,3257,,N/A,UPDATE,N/A,N/A,[],"2600:140f:3200:0:0:0:0:0/48, 2605:9cc0:c06:0:0:0:0:0/48",rrc01.ripe.net,2001:7f8:4::cb9:1-0195ebd947a2000a,"{""timestamp"": 1743418640.29, ""peer"": ""2001:7f8:4::cb9:1"", ""peer_asn"": ""3257"", ""id"": ""2001:7f8:4::cb9:1-0195ebd947a2000a"", ""host"": ""rrc01.ripe.net"", ""type"": ""UPDATE"", ""path"": [], ""community"": [], ""announcements"": [], ""withdrawals"": [""2600:140f:3200:0:0:0:0:0/48"", ""2605:9cc0:c06:0:0:0:0:0/48""]}"
2025-03-31 16:27:20,102.217.17.0/24,195.66.224.32,3257,3257 > 1299 > 6939 > 6939 > 60171 > 37447 > 328344,195.66.224.32,UPDATE,IGP,N/A,"[[3257, 8051], [3257, 30054], [3257, 50001], [3257, 54400], [3257, 54401]]",,rrc01.ripe.net,195.66.224.32-0195ebd947a2000b,"{""timestamp"": 1743418640.29, ""peer"": ""195.66.224.32"", ""peer_asn"": ""3257"", ""id"": ""195.66.224.32-0195ebd947a2000b"", ""host"": ""rrc01.ripe.net"", ""type"": ""UPDATE"", ""path"": [3257, 1299, 6939, 6939, 60171, 37447, 328344], ""community"": [[3257, 8051], [3257, 30054], [3257, 50001], [3257, 54400], [3257, 54401]], ""origin"": ""IGP"", ""med"": 0, ""announcements"": [{""next_hop"": ""195.66.224.32"", ""prefixes"": [""102.217.17.0/24""]}], ""withdrawals"": []}"
2025-03-31 16:27:20,2804:2058::/32,2001:7f8:4::cb9:1,3257,3257 > 174 > 53013 > 28260 > 262907 > 262907 > 262907 > 262907 > 262907 > 262907 > 53135 > 264487,"2001:7f8:4::cb9:1,fe80::219:e2ff:feb1:dc8a",UPDATE,IGP,N/A,"[[3257, 8031], [3257, 30146], [3257, 50001], [3257, 53100], [3257, 53101]]",,rrc01.ripe.net,2001:7f8:4::cb9:1-0195ebd947a2000c,"{""timestamp"": 1743418640.29, ""peer"": ""2001:7f8:4::cb9:1"", ""peer_asn"": ""3257"", ""id"": ""2001:7f8:4::cb9:1-0195ebd947a2000c"", ""host"": ""rrc01.ripe.net"", ""type"": ""UPDATE"", ""path"": [3257, 174, 53013, 28260, 262907, 262907, 262907, 262907, 262907, 262907, 53135, 264487], ""community"": [[3257, 8031], [3257, 30146], [3257, 50001], [3257, 53100], [3257, 53101]], ""origin"": ""IGP"", ""med"": 0, ""announcements"": [{""next_hop"": ""2001:7f8:4::cb9:1,fe80::219:e2ff:feb1:dc8a"", ""prefixes"": [""2804:2058::/32""]}], ""withdrawals"": []}"
2025-03-31 16:27:20,41.190.234.0/23,195.66.224.32,3257,3257 > 1299 > 6939 > 6939 > 60171 > 37447 > 37638,195.66.224.32,UPDATE,IGP,N/A,"[[3257, 8051], [3257, 30054], [3257, 50001], [3257, 54400], [3257, 54401]]",,rrc01.ripe.net,195.66.224.32-0195ebd947a2000d,"{""timestamp"": 1743418640.29, ""peer"": ""195.66.224.32"", ""peer_asn"": ""3257"", ""id"": ""195.66.224.32-0195ebd947a2000d"", ""host"": ""rrc01.ripe.net"", ""type"": ""UPDATE"", ""path"": [3257, 1299, 6939, 6939, 60171, 37447, 37638], ""community"": [[3257, 8051], [3257, 30054], [3257, 50001], [3257, 54400], [3257, 54401]], ""origin"": ""IGP"", ""med"": 0, ""announcements"": [{""next_hop"": ""195.66.224.32"", ""prefixes"": [""41.190.234.0/23""]}], ""withdrawals"": []}"
2025-03-31 16:27:20,2804:2058::/32,2001:7f8:4::cb9:1,3257,3257 > 174 > 53013 > 28260 > 262907 > 262907 > 262907 > 262907 > 262907 > 262907 > 53135 > 264487,"2001:7f8:4::cb9:1,fe80::219:e2ff:feb1:dc8a",UPDATE,IGP,N/A,"[[3257, 8978], [3257, 30654], [3257, 50001], [3257, 54400], [3257, 54401]]",,rrc01.ripe.net,2001:7f8:4::cb9:1-0195ebd947a2000e,"{""timestamp"": 1743418640.29, ""peer"": ""2001:7f8:4::cb9:1"", ""peer_asn"": ""3257"", ""id"": ""2001:7f8:4::cb9:1-0195ebd947a2000e"", ""host"": ""rrc01.ripe.net"", ""type"": ""UPDATE"", ""path"": [3257, 174, 53013, 28260, 262907, 262907, 262907, 262907, 262907, 262907, 53135, 264487], ""community"": [[3257, 8978], [3257, 30654], [3257, 50001], [3257, 54400], [3257, 54401]], ""origin"": ""IGP"", ""med"": 0, ""announcements"": [{""next_hop"": ""2001:7f8:4::cb9:1,fe80::219:e2ff:feb1:dc8a"", ""prefixes"": [""2804:2058::/32""]}], ""withdrawals"": []}"
2025-03-31 16:27:20,"206.119.36.0/24, 206.119.35.0/24",195.66.224.32,3257,3257 > 1299 > 140224,195.66.224.32,UPDATE,IGP,65534:103.148.187.1,"[[3257, 8051], [3257, 30054], [3257, 50001], [3257, 54400], [3257, 54401]]",,rrc01.ripe.net,195.66.224.32-0195ebd947a2000f,"{""timestamp"": 1743418640.29, ""peer"": ""195.66.224.32"", ""peer_asn"": ""3257"", ""id"": ""195.66.224.32-0195ebd947a2000f"", ""host"": ""rrc01.ripe.net"", ""type"": ""UPDATE"", ""path"": [3257, 1299, 140224], ""community"": [[3257, 8051], [3257, 30054], [3257, 50001], [3257, 54400], [3257, 54401]], ""origin"": ""IGP"", ""med"": 0, ""aggregator"": ""65534:103.148.187.1"", ""announcements"": [{""next_hop"": ""195.66.224.32"", ""prefixes"": [""206.119.36.0/24"", ""206.119.35.0/24""]}], ""withdrawals"": []}"
2025-03-31 16:27:20,2a03:eec0:3212::/48,2001:7f8:4::cb9:1,3257,3257 > 1299 > 22616,"2001:7f8:4::cb9:1,fe80::219:e2ff:feb1:dc8a",UPDATE,IGP,N/A,"[[3257, 8226], [3257, 30052], [3257, 50001], [3257, 54900], [3257, 54901]]",,rrc01.ripe.net,2001:7f8:4::cb9:1-0195ebd947a20010,"{""timestamp"": 1743418640.29, ""peer"": ""2001:7f8:4::cb9:1"", ""peer_asn"": ""3257"", ""id"": ""2001:7f8:4::cb9:1-0195ebd947a20010"", ""host"": ""rrc01.ripe.net"", ""type"": ""UPDATE"", ""path"": [3257, 1299, 22616], ""community"": [[3257, 8226], [3257, 30052], [3257, 50001], [3257, 54900], [3257, 54901]], ""origin"": ""IGP"", ""med"": 0, ""announcements"": [{""next_hop"": ""2001:7f8:4::cb9:1,fe80::219:e2ff:feb1:dc8a"", ""prefixes"": [""2a03:eec0:3212::/48""]}], ""withdrawals"": []}"
2025-03-31 16:27:20,206.119.55.0/24,195.66.224.32,3257,3257 > 1299 > 140224,195.66.224.32,UPDATE,IGP,N/A,"[[3257, 8051], [3257, 30054], [3257, 50001], [3257, 54400], [3257, 54401]]",,rrc01.ripe.net,195.66.224.32-0195ebd947a20011,"{""timestamp"": 1743418640.29, ""peer"": ""195.66.224.32"", ""peer_asn"": ""3257"", ""id"": ""195.66.224.32-0195ebd947a20011"", ""host"": ""rrc01.ripe.net"", ""type"": ""UPDATE"", ""path"": [3257, 1299, 140224], ""community"": [[3257, 8051], [3257, 30054], [3257, 50001], [3257, 54400], [3257, 54401]], ""origin"": ""IGP"", ""med"": 0, ""announcements"": [{""next_hop"": ""195.66.224.32"", ""prefixes"": [""206.119.55.0/24""]}], ""withdrawals"": []}"
2025-03-31 16:27:20,N/A,2001:7f8:4::cb9:1,3257,,N/A,UPDATE,N/A,N/A,[],2a03:eec0:3212:0:0:0:0:0/48,rrc01.ripe.net,2001:7f8:4::cb9:1-0195ebd947a20012,"{""timestamp"": 1743418640.29, ""peer"": ""2001:7f8:4::cb9:1"", ""peer_asn"": ""3257"", ""id"": ""2001:7f8:4::cb9:1-0195ebd947a20012"", ""host"": ""rrc01.ripe.net"", ""type"": ""UPDATE"", ""path"": [], ""community"": [], ""announcements"": [], ""withdrawals"": [""2a03:eec0:3212:0:0:0:0:0/48""]}"
2025-03-31 16:27:21,55.89.99.0/24,195.66.224.32,3257,3257 > 3356 > 721 > 721 > 27064 > 367 > 306 > 356,195.66.224.32,UPDATE,IGP,N/A,"[[3257, 8031], [3257, 30042], [3257, 50001], [3257, 53100], [3257, 53101]]",,rrc01.ripe.net,195.66.224.32-0195ebd94b8a0000,"{""timestamp"": 1743418641.29, ""peer"": ""195.66.224.32"", ""peer_asn"": ""3257"", ""id"": ""195.66.224.32-0195ebd94b8a0000"", ""host"": ""rrc01.ripe.net"", ""type"": ""UPDATE"", ""path"": [3257, 3356, 721, 721, 27064, 367, 306, 356], ""community"": [[3257, 8031], [3257, 30042], [3257, 50001], [3257, 53100], [3257, 53101]], ""origin"": ""IGP"", ""med"": 0, ""announcements"": [{""next_hop"": ""195.66.224.32"", ""prefixes"": [""55.89.99.0/24""]}], ""withdrawals"": []}"
